Strain,Dimension,Direction,Strain rate,Temperature ,Stress,Young's modulus,Acceptable/Not Acceptable,
0,11,1,0.05,1,0,0,0,
0.0007,11,1,0.05,1,0.928,1325.714286,1,
0.0019,11,1,0.05,1,1.8656,981.8947368,1,
0.0031,11,1,0.05,1,2.6756,863.0967742,1,
0.0043,11,1,0.05,1,3.6312,844.4651163,1,
0.0055,11,1,0.05,1,4.3822,796.7636364,1,
0.0066,11,1,0.05,1,5.3057,803.8939394,1,
0.0078,11,1,0.05,1,6.1084,783.1282051,1,
0.2937,11,1,0.05,1,132.4056,450.8192033,0,
0.2949,11,1,0.05,1,132.7112,450.0210241,0,
0.2961,11,1,0.05,1,133.2792,450.1155015,0,
0.2972,11,1,0.05,1,133.5383,449.3213324,0,
0.2984,11,1,0.05,1,133.9908,449.0308311,0,
0.2996,11,1,0.05,1,134.2646,448.1461949,0,
0.3008,11,1,0.05,1,134.6938,447.7852394,0,
0,11,1,0.05,10,0,0,0,
0.0267,11,1,0.05,10,19.8369,742.9550562,1,
0.0279,11,1,0.05,10,20.3492,729.3620072,1,
0.2878,11,1,0.05,10,129.7898,450.9722029,0,
0.2889,11,1,0.05,10,130.0621,450.1976462,0,
0.2901,11,1,0.05,10,130.5158,449.8993451,0,
0.2913,11,1,0.05,10,130.8512,449.197391,0,
0.2925,11,1,0.05,10,131.3934,449.2082051,0,
0.2937,11,1,0.05,10,131.7073,448.4416071,0,
0.2948,11,1,0.05,10,132.1884,448.4002714,0,
0.296,11,1,0.05,10,132.3734,447.2074324,0,
0.2972,11,1,0.05,10,132.8072,446.8613728,0,
0.2984,11,1,0.05,10,133.3766,446.9725201,0,
0.2996,11,1,0.05,10,133.7405,446.3968625,0,
0.3007,11,1,0.05,10,134.1354,446.0771533,0,
0,11,1,0.05,100,0,0,0,
0.0007,11,1,0.05,100,1.78,2542.857143,1,
0.0019,11,1,0.05,100,3.4842,1833.789474,1,
0.0031,11,1,0.05,100,4.1916,1352.129032,1,
0.1187,11,1,0.05,100,74.484,627.4978939,1,
0.1199,11,1,0.05,100,75.3678,628.588824,1,
0.245,11,1,0.05,100,116.654,476.1387755,0,
